ASSET_UNIT_ID,ASSET_UNIT_NAME,ASSET_UNIT_PROJECT,ASSET_STATUS_ACTIVITY,ASSET_STATUS_ACTIVITY_ACCURACY,ASSET_VALUECHAIN_SEGMENT2,ASSET_STATUS_LIFECYCLE1,ASSET_STATUS_LIFECYCLE_ACCURACY,ASSET_OWNERSHIP_PROMOTER,ASSET_UNIT_SCOPE,ASSET_CAPACITY_YEAR,ASSET_CAPACITY_YEAR_ACCURACY,ASSET_CARBON_INTENSITY,ASSET_LOCATION_GPS-ACCURACY,ASSET_LOCATION_GPS-LONGITUDE,ASSET_LOCATION_GPS-LATITUDE
ASFR230012,Airbus/Ariane Group ZEROe Toulouse-Blagnac Airport  - LH2 Refueling Station,ZEROe Toulouse-Blagnac,active,unless stated otherwise,refueling,development,estimated,Airbus/Ariane Group,,-,-,,Nearest city center,1.37612,43.62644
ASFR230013,Engie Solutions/HyPort Toulouse-Blagnac - Hydrogen refueling station (outside the airport),HyPort Toulouse-Blagnac,active,reported,refueling,operational,reported,Engie Solutions,"Situées à proximité immédiate des pistes de l’aéroport et d’axes routiers, les deux bornes intégrées dans la station seront équipées par McPhy. Afin de permettre à tous types de véhicules d’effectuer un plein (bus, véhicules utilitaires légers, flottes captives, poids lourds etc…), l’une d’entre elles sera équipée d’un système de distribution à double pression, permettant ainsi de fournir du carburant à 350 ou à 700 bars.
'Sur site, un électrolyseur construit par McPhy subviendra aux besoins des deux bornes de recharge à hydrogène. D’une capacité de production de plus de 400 kg d’hydrogène zéro-carbone par jour, soit un équivalent de 1 MW d’électrolyse grande puissance, il permettra également d’alimenter les sites industriels souhaitant décarboner leurs procédés.",-,-,,Nearest city center,1.36855,43.63018
ASFR230014,Hynamics H2NFC Danjoutin Extension - 1MW Hydrogen refueling station,H2NFC Danjoutin,active,reported,refueling,plans for extension,estimated,Hynamics,"La ville de Belfort compte actuellement une seule station de ravitaillement en hydrogène. D’une capacité d’1 MW, elle peut produire environ 400 kg d’H2 par jour. S’il n’est pas prévu d’installer de nouvelles stations à court terme, la ville compte doubler la capacité de cette dernière dès 2025 pour atteindre 2 MW (environ 800 kg d’H2 par jour).
Fourniture par McPhy à une filiale d'Eiffage d'un électrolyseur de 1 MW et d’une station de recharge capable de distribuer jusqu’à 800 kg/jour, afin d’avitailler une flotte de bus à hydrogène.",-,-,,Exact site location,6.85928,47.62253
ASFR230015,R-GDS H2ME2 Strasbourg-Meinau - Hydrogen refueling station,H2ME2 Strasbourg-Meinau,active,reported,refueling,operational,reported,R-GDS,Installation of a high-capacity hydrogen station in Strasbourg-Meinau on December 12th._x000B_The station is part of the H2ME2 programme and has received funding from Clean Hydrogen Partnership under Grant Agreement No. 700350 with the support of Horizon 2020 R&D programme of the EU.,-,-,,Exact site location,7.73802,48.56029
ASFR230016,Corstyrène Aléria - Hydrogen refueling Station,Corstyrène Aléria,active,reported,refueling,operational,reported,Corstyrène Energy,"Dans le cadre de ses actions menées en faveur de la transition énergétique sur les territoires, la direction régionale Corse soutient la société Corstyrène (Aléria - Haute Corse) dans l’installation des deux premières stations hydrogènes alimentées par une centrale photovoltaïque, une première au niveau national pour la Banque des Territoires.
Avec l’appui de la direction régionale Corse, elle vient ainsi d’inaugurer à Aléria les deux premières stations hydrogène de Corse. Alimentées par une centrale photovoltaïque, ces stations permettront notamment l’avitaillement des chariot élévateurs utilisés sur les sites du Groupe Corstyrène.
La Corse devient ainsi un territoire précurseur en termes d'énergies renouvelables, montrant l'exemple à tout le territoire national. De la recherche jusqu'à l'installation, l'investissement total est de 1,4M€. Un projet aidé notamment par la Banque des Territoires à hauteur de 200 000 € en quasi-fonds propres.",-,-,,Exact site location,9.47714,42.11329
ASFR230017,Hympulsion Valence - Hydrogen refueling station,Hympulsion Valence,active,unless stated otherwise,refueling,construction,estimated,Hympulsion,,-,-,,Nearest city center,4.89197,44.93386
ASFR230018,Hympulsion Saint-Egrève - Hydrogen refueling station,Hympulsion Saint-Egrève,active,estimated,refueling,operational,reported,Hympulsion,,-,-,,Exact site location,5.66839,45.23346
ASFR230020,Hympulsion Vénissieux - Hydrogen refueling station,Hympulsion Vénissieux,active,estimated,refueling,construction,reported,Hympulsion,,-,-,,Nearest known address,4.86898,45.71524
ASFR230021,Seven Montbrison - CNG Refueling station,Seven Montbrison,active,estimated,refueling,operational,reported,Seven,,-,-,,Nearest city center,4.06328,45.60742
ASFR230023,SyDEV La-Roche-sur-Yon - CNG Refueling Station,SyDev La-Roche-sur-Yon,active,reported,refueling,operational,reported,SyDEV,,-,-,,Nearest known address,-1.42880,46.70311
ASFR230024,Hympulsion Vienne-Condrieux - Hydrogen refueling station,Hympulsion Vienne,active,unless stated otherwise,refueling,construction,estimated,Hympulsion,,-,-,,Nearest city center,4.87438,45.52568
ASFR230025,Air Liquide/Lidl Carquefou - Hydrogen refueling station,Lidl Carquefou,active,reported,refueling,operational,reported,Lidl,,-,-,,Exact site location,-1.49864,47.26957
ASFR230026,SyDEV La-Roche-sur-Yon - Hydrogen refueling Station,SyDev La-Roche-sur-Yon,active,reported,refueling,operational,reported,SyDEV,,-,-,,Nearest known address,-1.42880,46.70311
ASFR230027,TotalEnergies Le Mans - Hydrogen refueling station,TotalEnergies Le Mans,active,reported,refueling,operational,reported,TotalEnergies,,-,-,,Exact site location,0.19494,47.94834
ASFR230028,Regaz Bacalan - Hydrogen refueling station,Regaz Bacalan,active,unless stated otherwise,refueling,construction,estimated,Regaz,,-,-,,Exact site location,-0.54911,44.87949
ASFR230029,AirLiquide/Prelocentre Saint-Cyr-en-Val - Hydrogen refueling station,Air Liquide/Prelocentre Saint-Cyr-en-Val,active,reported,refueling,operational,reported,Air Liquide,,-,-,,Exact site location,1.95995,47.81661
ASFR230030,Air Liquide/IKEA Saint-Quentin-Fallavier - Hydrogen refueling station,IKEA Saint-Quentin-Fallavier,active,reported,refueling,operational,reported,Air Liquide,"la station de distribution d’hydrogène alimentera une vingtaine de chariots élévateurs munis de piles à combustible à hydrogène HyPulsion (co-entreprise détenue à 80 % par Axane, filiale d’Air Liquide, et à 20 % par Plug Power). Ces chariots électriques fonctionnant à l’hydrogène ne rejettent que de l’eau et bénéficient d’une autonomie de 8 heures
La station Air Liquide délivrera de l’hydrogène à une pression de 350 bar et permettra de faire un plein en 3 minutes",-,-,,Nearest known address,5.09971,45.66512
ASFR230031,Air Liquide/Carrefour Vendin-le-Vieil - Hydrogen refueling station,Air Liquide/Carrefour Vendin-le-Vieil,active,reported,refueling,operational,reported,Air Liquide,"Air Liquide manages the supply of decarbonated hydrogen from a storage station installed on site, but at a distance from the buildings. Hydrogen is delivered every 3-4 days at a pressure of 250 bar in tubes, with a volume of 350 kg per trailer. Once on site, the station compresses the hydrogen to 450 bar using two compressors, one of which is a back-up. It is then temporarily stored before being distributed to distributors via a small-diameter (15 mm, 3 mm thick) underground seamless pipeline. The pressure inside the warehouse's 3 dispensers is maintained at 400 bar.
Filling the handling equipment takes 3 to 4 minutes. During filling, merchandise must be deposited at a safe distance from the dispensers, indicated by studs located 6 meters around the dispenser, where no flammable substances can be stored. At all times, only 80 kg of hydrogen are present in the warehouse, mainly in the forklifts. The site is under video surveillance 24/24, 7/7.
The construction of the station in 2016 did not require any ICPE procedure, but only a ""notification à connaissance"".",-,-,,Exact site location,2.83780,50.46634
ASFR230033,CC Entre Bièvre et Rhône Chanas-Sablon - Hydrogen refueling Station,Chanas-Sablon,active,unless stated otherwise,refueling,development,estimated,CC  Entre Bièvre et Rhône,,-,-,,Nearest city center,4.80543,45.33089
ASFR230034,Hympulsion Roussillon - Hydrogen refueling station,Hympulsion Roussillon,active,reported,refueling,operational,reported,Hympulsion,,-,-,,Nearest known address,4.80520,45.37313
ASFR230035,Lhyfe VHyGO 1 Brest - Hydrogen refueling station,VHyGO 1 Brest,active,estimated,refueling,development,reported,Lhyfe,"Composé de dix partenaires et coordonné par Lhyfe, le projet VHyGO fait partie des 7 lauréats de l’appel à projets hydrogène de l'ADEME. Etalé sur trois régions du Grand Ouest (Bretagne, Normandie et Pays de la Loire), il prévoit la mise en place d’un écosystème complet autour de l’hydrogène renouvelable.
Vhygo vise à démocratiser l’accès à l’hydrogène renouvelable dans les régions Bretagne, Normandie et Pays de la Loire.
(Phase 1) du projet VHyGO = 3 sites de production de 3,5MW au total : Brest (1,5 MW), Saint-Nazaire (1,5 MW) et Dieppe (0,5 MW), adossé à 3 stations de distribution au total
(Phase 2) du projet VHyGO = Lhyfe Bretagne (Lorient)
Phases futures (3, 4, ...) = A définir dans le futur",-,-,,Nearest city center,-4.48627,48.39030
ASFR230036,Lhyfe VHyGO 1 Saint-Nazaire - Hydrogen refueling station,VHyGO 1 Saint-Nazaire,active,unless stated otherwise,refueling,development,estimated,Lhyfe,"Composé de dix partenaires et coordonné par Lhyfe, le projet VHyGO fait partie des 7 lauréats de l’appel à projets hydrogène de l'ADEME. Etalé sur trois régions du Grand Ouest (Bretagne, Normandie et Pays de la Loire), il prévoit la mise en place d’un écosystème complet autour de l’hydrogène renouvelable.
Vhygo vise à démocratiser l’accès à l’hydrogène renouvelable dans les régions Bretagne, Normandie et Pays de la Loire.
(Phase 1) du projet VHyGO = 3 sites de production de 3,5MW au total : Brest (1,5 MW), Saint-Nazaire (1,5 MW) et Dieppe (0,5 MW), adossé à 3 stations de distribution au total
(Phase 2) du projet VHyGO = Lhyfe Bretagne (Lorient)
Phases futures (3, 4, ...) = A définir dans le futur",-,-,,Nearest city center,-2.21414,47.27340
ASFR230037,Lhyfe VHyGO 1 Dieppe - Hydrogen refueling station,VHyGO 1 Dieppe,active,unless stated otherwise,refueling,development,estimated,Lhyfe,"Composé de dix partenaires et coordonné par Lhyfe, le projet VHyGO fait partie des 7 lauréats de l’appel à projets hydrogène de l'ADEME. Etalé sur trois régions du Grand Ouest (Bretagne, Normandie et Pays de la Loire), il prévoit la mise en place d’un écosystème complet autour de l’hydrogène renouvelable.
Vhygo vise à démocratiser l’accès à l’hydrogène renouvelable dans les régions Bretagne, Normandie et Pays de la Loire.
(Phase 1) du projet VHyGO = 3 sites de production de 3,5MW au total : Brest (1,5 MW), Saint-Nazaire (1,5 MW) et Dieppe (0,5 MW), adossé à 3 stations de distribution au total
(Phase 2) du projet VHyGO = Lhyfe Bretagne (Lorient)
Phases futures (3, 4, ...) = A définir dans le futur",-,-,,Nearest city center,1.07745,49.92288
ASFR230038,H2X Redon - Hydrogen refueling station,H2X Redon,active,estimated,refueling,operational,reported,H2X,,-,-,,Exact site location,-2.07134,47.66970
ASFR230040,Atawey Île d'Yeu - Hydrogen refueling station,Atawey Île d'Yeu,active,reported,refueling,operational,reported,Atawey,,-,-,,Exact site location,-2.35988,46.71459
ASFR230041,HyGO Vannes - Hydrogen refueling station,HyGO Vannes,active,reported,refueling,operational,reported,Engie Solutions,"Distribution de 270 kg/jour, dont 40 kg/jour pour usages Michelin",-,-,,Exact site location,-2.70532,47.65640
ASFR230042,Semitan MuLTHy Saint-Herblain - Hydrogen refueling station,MuLTHy,active,reported,refueling,operational,reported,Semitan,,-,-,,Exact site location,-1.61646,47.24730
ASFR230043,Proviridis Port-Boyer - Hydrogen refueling station,Proviridis Port-Boyer,active,reported,refueling,operational,reported,Proviridis,,-,-,,Exact site location,-1.53746,47.24102
ASFR230044,La Rochelle YELO H2 Port des Minimes - Hydrogen refueling station,YELO H2,inactive,reported,refueling,terminated,reported,,,-,-,,Nearest known address,-1.16824,46.14222
ASFR230045,Engie Fehydrogen-powered bus Pau - Hydrogen refueling station,Febus Pau,active,reported,refueling,operational,reported,Engie Solutions,,-,-,,Nearest known address,-0.31513,43.31985
ASFR230046,Engie HyPort Tarbes-Lourdes-Pyrénées - Hydrogen refueling station,HyPort Tarbes,active,unless stated otherwise,refueling,construction,estimated,Engie Solutions,Station de distribution pour adresser notamment les usages de mobilité touristique et logistique et des collectivités,-,-,,Nearest city center,0.00325,43.18644
ASFR230047,Ondulia H2PIYR Rieux-de-Pelleport 1 - Hydrogen refueling station,H2PIYR Rieux-de-Pelleport,active,reported,refueling,operational,reported,Ondulia,,-,-,,Exact site location,1.62001,43.06275
ASFR230048,Ondulia H2PyiR Rieux-de-Pelleport 2 - Hydrogen refueling station,H2PIYR Rieux-de-Pelleport,active,reported,refueling,operational,reported,Ondulia,,-,-,,Nearest city center,1.60683,43.11449
ASFR230049,Suez Carcassonne - Hydrogen refueling Station,Suez Carcassonne,active,reported,refueling,operational,reported,Suez,,-,-,,Nearest known address,2.35957,43.20280
ASFR230050,Braley H2PYR Rodez - Hydrogen refueling station,H2PYR Rodez,active,reported,refueling,operational,reported,Braley,,-,-,,Nearest known address,2.59522,44.38869
ASFR230051,Engie/HyPort Langlade Tisséo Toulouse - Hydrogen refueling Station,HyPort Langlade,active,estimated,refueling,development,reported,Engie Solutions,,-,-,,Nearest known address,1.42235,43.56658
ASFR230052,Engie Solutions/HyPort Toulouse-Blagnac - Hydrogen refueling station (inside the airport),HyPort Toulouse-Blagnac,active,reported,refueling,operational,reported,Engie Solutions,"Situées à proximité immédiate des pistes de l’aéroport et d’axes routiers, les deux bornes intégrées dans la station seront équipées par McPhy. Afin de permettre à tous types de véhicules d’effectuer un plein (bus, véhicules utilitaires légers, flottes captives, poids lourds etc…), l’une d’entre elles sera équipée d’un système de distribution à double pression, permettant ainsi de fournir du carburant à 350 ou à 700 bars.
'Sur site, un électrolyseur construit par McPhy subviendra aux besoins des deux bornes de recharge à hydrogène. D’une capacité de production de plus de 400 kg d’hydrogène zéro-carbone par jour, soit un équivalent de 1 MW d’électrolyse grande puissance, il permettra également d’alimenter les sites industriels souhaitant décarboner leurs procédés.",-,-,,Nearest city center,1.37612,43.62644
ASFR230053,Qair Hyd'Occ Corridor H2 Toulouse Eurocentre - Hydrogen refueling station,Hyd'Occ Toulouse Eurocentre,active,estimated,refueling,construction,reported,Qair,,-,-,,Nearest city center,1.38197,43.76687
ASFR230054,Qair/Hyd'Occ Corridor H2 Hérault Montpellier/Saint-Jean-de-Védas - Hydrogen refueling station,Hyd'Occ Montpelllier/Saint-Jean-de-Védas,active,estimated,refueling,construction,reported,Qair,,-,-,,Nearest city center,3.82640,43.57611
ASFR230055,Qair/Hyd'Occ Corridor H2 Castelnaudary - Hydrogen refueling station,Hyd'Occ Castelnaudary,active,estimated,refueling,construction,reported,Qair,,-,-,,Nearest city center,1.94488,43.28885
ASFR230056,Qair/Hyd'Occ/Proviridis Narbonne - Hydrogen refueling Station,Hyd'Occ Narbonne,active,estimated,refueling,construction,reported,Qair,,-,-,,Nearest city center,3.00208,43.18285
ASFR230057,Qair / Hyd'Occ Corridor H2 Perpignan Saint Charles - Hydrogen refueling station,Hyd'Occ Perpignan Saint Charles,active,estimated,refueling,construction,reported,Qair,,-,-,,Nearest city center,2.89283,42.68866
ASFR230058,Seven Hydro'Tarn Saint-Sulpice-la-Pointe - Hydrogen refueling station,Hydro'Tarn Saint-Sulpice-la-Pointe,active,estimated,refueling,construction,reported,Seven,"Hydro’Tarn : projet porté par le Conseil Départemental du Tarn, qui comprend le déploiement de 2 stations de distribution d’hydrogène et 2 unités de production (électrolyse et vapéroformage) à Saint-Sulpice-Lapointe et à Albi
Trifyl est également partie prenante du projet",-,-,,Nearest known address,1.71217,43.76072
ASFR230059,Distry Portes du Tarn - Hydrogen refueling station,Distry Portes du Tarn,active,unless stated otherwise,refueling,development,estimated,Distry,,-,-,,Nearest known address,1.70514,43.75957
ASFR230060,HyDroMer Sète - Hydrogen refueling station,HyDroMer Sète,active,unless stated otherwise,refueling,development,estimated,Hydromer,,-,-,,Nearest city center,3.69597,43.40144
ASFR230061,Lhyfe Occitanie (Val d'HyGO) Bessières - Hydrogen refueling station,Val d'Hygo Bessières,active,estimated,refueling,development,reported,Lhyfe,,-,-,,Nearest known address,1.56443,43.80888
ASFR230062,GRTGaz Jupiter-1000 Power-to-gas - H2 Injection Unit,Jupiter-1000,active,unless stated otherwise,grid injection,operational,estimated,GRTgaz,"The Jupiter 1000 project is the first industrial demonstrator of Power to Gas with a power rating of 1 MWe for electrolysis and a methanation process with carbon capture. Green hydrogen will be produced using two electrolysers involving different technologies, from 100% renewable energy. The installation will be based on an innovative methanation technology and CO2 will be captured on a nearby industrial site. In the light of the performance levels shown by the demonstrator, GRTgaz and its partners will work on future technical and economic standards of a full-sized installation of this type. Over the longer term, the idea is to launch the Power to Gas activity in France. More than 15 TWh of gas could be produced each year using the Power to Gas system by 2050.",-,-,,Nearest city center,4.83915,43.45653
ASFR230063,Storengy MéthyCentre Angé - SNG Injection Unit,Méthycentre,active,unless stated otherwise,grid injection,operational,estimated,Storengy,,-,-,,Nearest city center,1.25233,47.37183
ASFR230064,Engie Houdain-Divion - Hydrogen refueling station,Engie Houdain-Divion,active,reported,refueling,operational,reported,SMTAG ArtoisTBCGohelle,,-,-,,Exact site location,2.53943,50.46216
ASFR230065,Brest potentiel H2 - Hydrogen refueling station,Brest potentiel H2,active,unless stated otherwise,refueling,development,estimated,,,-,-,,Nearest city center,-4.48096,48.38442
ASFR230066,Ecosystème H2 la Roche aux Fées Retiers - Hydrogen refueling Station,Ecosystème H2 la Roche aux Fées,active,estimated,refueling,predevelopment,reported,Roche aux Fées Communauté (RAFCO),,-,-,,Nearest known address,-1.40481,47.93726
ASFR230067,CC Touraine Vallée de l'Indre/Atawey Velhyre Bréhémont - Hydrogen refueling station,Atawey Velhyre Bréhémont,active,reported,refueling,operational,reported,Atawey,Touraine Vallée de l'Indre has installed a hydrogen refueling station in Bréhémont. The station will be used to refuel the 15 hydrogen-powered bicycles which will be available for location in Bréhémont and Azay-le-Rideau.,-,-,,Nearest city center,0.35046,47.32688
ASFR230068,Conseil Départemental de la Manche Bhyke Cherbourg-en-Cotentin - Hydrogen refueling station,Bhyke Cherbourg-en-Cotentin,inactive,reported,refueling,terminated,reported,Conseil Départemental de la Manche,"La station intéressera les voitures et utilitaires à hydrogène, et non les vélos à hydrogène, qui de toutes façons ne sont plus en service. 
Il n’y a plus de vélos à hydrogène en location
Le dispositif de location de vélos à hydrogène a pris fin à Cherbourg comme à Saint-Lô.
Les deux agglomérations ont pendant deux ans participé, avec une vingtaine de vélos, à l’expérimentation pilotée par l’Ademe avec son appel à projets Titec.
Le conseil départemental de la Manche, associé à ce projet, appelé BHYKE, relancera une concertation pour étudier la suite à donner à ces deux années, qui ont permis d’évaluer l’intérêt de ces vélos.
Vice-présidente du conseil départemental déléguée à la transition énergétique, Valérie Nouvel reconnaît qu’il y a des points négatifs, mais souligne les points positifs :
De ce qui ressort de ces deux ans d’expérimentation, ce sont, c’est vrai, des points négatifs concernant la mécanique du vélo. Le modèle choisi n’était pas très maniable une fois le réservoir vide. Mais Pragma Industries (N.D.L.R., le développeur du modèle) l’a d’ores et déjà amélioré. Il y a aussi des points positifs : le temps de recharge rapide, la réactivité du vélo chargé et il n’y a plus d’appréhension pour utiliser des vélos à hydrogène. ",-,-,,Nearest city center,-1.62495,49.64253
ASFR230069,Conseil Départemental de la Manche Bhyke Saint-Lô Agglomération - Hydrogen refueling station,Bhyke Saint-Lô,inactive,reported,refueling,terminated,reported,Conseil Départemental de la Manche,Stations réutilisables dans le cadre de nouveaux projets,-,-,,Nearest known address,-1.09815,49.11587
ASFR230070,Ecosystème H2 la Roche aux Fées Retiers - CNG Refueling Station,Ecosystème H2 la Roche aux Fées,active,estimated,refueling,predevelopment,reported,Roche aux Fées Communauté (RAFCO),,-,-,,Nearest known address,-1.40481,47.93726
ASFR230071,Hynomed Le Castellet - Hydrogen refueling station,Hynomed Le Castellet,inactive,reported,refueling,terminated,reported,Engie Solutions,"Le projet HYNOVAR visait initialement à développer une navette maritime hydrogène alimentée par une station d’avitaillement terrestre, puis il a évolué vers une solution de maillage du territoire",-,-,,Nearest known address,5.79118,43.25348
ASFR230072,Ecosystème H2 la Roche aux Fées Retiers - H2 Injection Unit,Ecosystème H2 la Roche aux Fées,active,estimated,grid injection,predevelopment,reported,Roche aux Fées Communauté (RAFCO),,-,-,,Nearest known address,-1.40481,47.93726
ASFR230074,Atawey CARGHO Chambéry - Hydrogen refueling station,CARGHO Chambéry,active,unless stated otherwise,refueling,operational,estimated,Chambéry Grand Lac Economie,Station bought from Engie,-,-,,Exact site location,5.86822,45.64393
ASFR230075,Atawey/Chambéry Agglomération Grand Lac Aix-Les-Bains - Hydrogen refueling Station,Atawey Grand Lac,active,reported,refueling,operational,reported,Atawey,,-,-,,Nearest known address,5.89453,45.69096
ASFR230076,Atawey Paris - Hydrogen refueling station,Atawey Paris,active,reported,refueling,operational,reported,Atawey,,-,-,,Nearest city center,2.35162,48.92824
ASFR230077,INCM/Atawey Guyancourt - Hydrogen refueling station,INCM Guyancourt ,active,reported,refueling,operational,reported,INCM,,-,-,,Nearest city center,2.07625,48.76303
ASFR230078,Vedecom Versailles (Atawey) - Hydrogen refueling station,Vedecom Versailles,active,reported,refueling,operational,reported,Vedecom,,-,-,,Nearest city center,2.12668,48.80354
ASFR230079,Air Liquide Loges-en-Josas - Hydrogen refueling station,Air Liquide Loges-en-Josas,active,unless stated otherwise,refueling,operational,estimated,Air Liquide,"Air Liquide's Les Loges-en-Josas hydrogen station, built in February 2018, has been powering France's first hydrogen bus line, with Solaris models, since September 2019. In addition, this station supplies six other buses daily, and is one of Air Liquide's four hydrogen stations in the Île-de-France region. The hydrogen delivered to this hydrogen station is certified low-carbon.",-,-,,Exact site location,2.13245,48.76042
ASFR230081,Hympulsion Modane - Hydrogen refueling station,Hympulsion Modane,active,unless stated otherwise,refueling,development,estimated,Hympulsion,,-,-,,Nearest city center,6.66715,45.20167
ASFR230082,EAS-HyMob Octeville-sur-Mer - Hydrogen refueling station,EAS-HyMob Octeville-sur-Mer,active,reported,refueling,operational,reported,TBC,,-,-,,Nearest known address,0.10416,49.53384
ASFR230083,Engie EAS-HyMob Bretteville-sur-Odon - Hydrogen refueling station,EAS-HyMob Bretteville-sur-Odon,active,reported,refueling,operational,reported,Engie,"Station de recharge hydrogène déployée dans le cadre du programme EAS-HyMob, copiloté par la société Symbio, la Région Normandie et le Groupe Serfim. Ce projet a reçu le soutien financier de l’Union européenne dans la cadre du Mécanisme pour l'Interconnexion en Europe (50%) et de la Région Normandie (20%).",-,-,,Nearest city center,-0.41910,49.17405
ASFR230084,Engie EAS-HyMob Pont-l'Evèque - Hydrogen refueling station,EAS-HyMob Pont-l'Evèque,active,reported,refueling,operational,reported,SDEC Energie,Station de distribution de 20 kg /jour,-,-,,Nearest known address,0.19742,49.28792
ASFR230085,Engie EAS-HyMob Lillebonne - Hydrogen refueling station,EAS-HyMob Lillebonne,active,reported,refueling,operational,reported,TBC,,-,-,,Nearest known address,0.53110,49.51567
ASFR230086,Engie EAS-HyMob Rouen Sud - Hydrogen refueling station,EAS-HyMob Rouen,active,reported,refueling,operational,reported,Rouen Metropole Normandie,"Depuis 2017, la Métropole possède une station de recharge d’hydrogène pour véhicules légers dans le cadre du projet EAS-HyMob qui alimente une dizaine d’utilitaires Renault Kangoo fonctionnant à l’hydrogène.",-,-,,Nearest known address,1.10664,49.44698
ASFR230087,Valorem EAS-HyMob Rouen Deux rivières - Hydrogen refueling station,EAS-HyMob Rouen Deux rivières,active,reported,refueling,development,estimated,Rouen Metropole Normandie,"Pour charger ces bus en hydrogène, une station de production et de distribution va être implantée dans l’enceinte du dépôt bus des 2 Rivières situé à Rouen. La Métropole est candidate avec la société Valorem et le soutien technique et opérationnel de Transdev Rouen à l’appel à projets Ecosystèmes Territoriaux Hydrogène lancé par l’ADEME (Agence de la Transition Écologique) afin de développer, sur le territoire, sa première unité de production d’hydrogène vert.",-,-,,Exact site location,1.07090,49.44174
ASFR230088,Engie EAS-HyMob Val-de-Reuil - Hydrogen refueling station,EAS-HyMob Val-de-Reuil,active,reported,refueling,operational,reported,Engie,,-,-,,Exact site location,1.17590,49.25315
ASFR230089,Engie/Siège 27 EAS-HyMob Vieil Evreux  - Hydrogen refueling station,EAS-HyMob Vieil Evreux,active,reported,refueling,operational,reported,Siège 27,"Lors de l’inauguration de la station, les véhicules n’étaient pas là. « Il y a eu un retard avec le constructeur, donc on a décalé de près d’une année la mise en service de cette station. » 
« L’élément important pour notre station hydrogène, c’est le car Rouen — Évreux », annonce le président, faisant référence au car rétrofit, à hydrogène donc, rentrant bientôt en service.
« Il va se recharger tous les jours dans notre station. C’est la seule qui a la capacité et la puissance pour un car. Là nos chiffres vont exploser. » La station a délivré 74 kilos d’hydrogène au second trimestre de cette année. Ce car en absorbera plus de 100 à la semaine",-,-,,Nearest known address,1.18310,49.00985
